species,b_label,b_effective_kms,star_key,teff_k,n_tau1_cm2,tau_check,beta,beta_err
H I,0,1e-20,M6,3000,47180442.51317251,0.9999999999999999,3.789173374609783e-24,1.1544344741926322e-26
H I,0,1e-20,K1,5000,47180442.51317251,0.9999999999999999,9.87781728417375e-13,2.9934981657408683e-15
H I,0,1e-20,F8,6000,47180442.51317251,0.9999999999999999,0.0026160438749085893,7.969893200339452e-06
H I,0,1e-20,A6,8000,47180442.51317251,0.9999999999999999,0.0025547324781913213,7.762927610267405e-06
H I,0,1e-20,A0,10000,47180442.51317251,0.9999999999999999,1.6718888686720668,0.005004872333499323
H I,0,1e-20,B5,15000,47180442.51317251,0.9999999999999999,269.6114018685077,0.7341627356546714
H I,0,1e-20,B3,19000,47180442.51317251,0.9999999999999999,3378.037809969536,9.119492984348724
H I,0,1e-20,B0,30000,47180442.51317251,0.9999999999999999,116699.65130389837,221.43419999714368
H I,0,1e-20,O0,50000,47180442.51317251,0.9999999999999999,1595660.0399248977,3591.916276623162
H I,1,1.0,M6,3000,1326060528470.9004,0.9999999999999999,2.3127591430842938e-24,2.1693022305335893e-27
H I,1,1.0,K1,5000,1326060528470.9004,0.9999999999999999,6.046383110954413e-13,5.62534286815754e-16
H I,1,1.0,F8,6000,1326060528470.9004,0.9999999999999999,0.0015965985550051842,1.497424431524525e-06
H I,1,1.0,A6,8000,1326060528470.9004,0.9999999999999999,0.001561662790022196,1.4591053235536162e-06
H I,1,1.0,A0,10000,1326060528470.9004,0.9999999999999999,1.0302013444308078,0.0009415894180002594
H I,1,1.0,B5,15000,1326060528470.9004,0.9999999999999999,174.99715529103378,0.14078764543061692
H I,1,1.0,B3,19000,1326060528470.9004,0.9999999999999999,2204.4286994758,1.7459077168309143
H I,1,1.0,B0,30000,1326060528470.9004,0.9999999999999999,89160.81166803041,58.88629996379788
H I,1,1.0,O0,50000,1326060528470.9004,0.9999999999999999,1134151.9997383142,778.5740198528662
H I,10,10.0,M6,3000,13199632511755.354,1.0,2.3107325283163154e-24,2.1387465983379257e-27
H I,10,10.0,K1,5000,13199632511755.354,1.0,6.045919613079928e-13,5.540371994952178e-16
H I,10,10.0,F8,6000,13199632511755.354,1.0,0.0015903237229232849,1.46917952650816e-06
H I,10,10.0,A6,8000,13199632511755.354,1.0,0.001565333935724158,1.4447954849331023e-06
H I,10,10.0,A0,10000,13199632511755.354,1.0,1.033043981219564,0.0009329901425209744
H I,10,10.0,B5,15000,13199632511755.354,1.0,176.03877899976916,0.14031222622731118
H I,10,10.0,B3,19000,13199632511755.354,1.0,2205.7997439184633,1.7250841220677766
H I,10,10.0,B0,30000,13199632511755.354,1.0,89951.84055300761,59.19834277904927
H I,10,10.0,O0,50000,13199632511755.354,1.0,1134812.1538706515,771.6160719390198
H I,100,100.0,M6,3000,131935418621917.11,1.0,5.6202560760143004e-24,7.421395380900918e-27
