species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
H I	0	1e-20	M6	3000	3.795211242986834e-24	1.158624346180182e-26	28872843770.457573
H I	0	1e-20	K1	5000	9.89361432015909e-13	3.004362766302347e-15	28841353083.889515
H I	0	1e-20	F8	6000	0.0026202131835676135	7.998818703928482e-06	28872605999.874657
H I	0	1e-20	A6	8000	0.0025588144429166426	7.791100878883918e-06	28850124252.39944
H I	0	1e-20	A0	10000	1.6745999552386517	0.005023038619793215	28707232825.724483
H I	0	1e-20	B5	15000	270.18368155667974	0.7368424445766515	27572834177.46429
H I	0	1e-20	B0	30000	117089.85151581377	222.40849069938858	23172736192.710117
H I	0	1e-20	O0	50000	1600839.858499185	3605.5809339863704	25217689335.58519
H I	1	1.0	M6	3000	3.841662111853585e-24	7.234904787462066e-27	1870866475186.796
H I	1	1.0	K1	5000	1.0014800552803471e-12	1.875995773071269e-15	1883743311560.4355
H I	1	1.0	F8	6000	0.0026520635922809366	4.994362454652116e-06	1870874566706.3337
H I	1	1.0	A6	8000	0.002590424806909927	4.865629533812445e-06	1877080464743.1304
H I	1	1.0	A0	10000	1.6953786209972321	0.0031371039621047123	1913523711899.0562
H I	1	1.0	B5	15000	273.5919711583914	0.46027506151330133	2203769368059.688
H I	1	1.0	B0	30000	118616.9642372989	138.91771350618458	4684885792773.564
H I	1	1.0	O0	50000	1620688.588118824	2251.066983207479	3079174127853.1836
H I	10	10.0	M6	3000	3.843342084686158e-24	7.195191352758306e-27	18564510758699.82
H I	10	10.0	K1	5000	1.0024280712005087e-12	1.865046757970993e-15	18704968866181.938
H I	10	10.0	F8	6000	0.0026473324659996283	4.955759113329588e-06	18528120020496.406
H I	10	10.0	A6	8000	0.002598359466389589	4.851629590711851e-06	18651708785742.496
H I	10	10.0	A0	10000	1.7011077036770104	0.00312922558226595	19017112386203.816
H I	10	10.0	B5	15000	275.22687598119677	0.4605414285581071	21931444485325.492
H I	10	10.0	B0	30000	119722.64404080583	139.9391457146726	46418668979696.03
H I	10	10.0	O0	50000	1622797.3648968174	2241.066524866233	30555244068178.72
H I	100	100.0	M6	3000	7.632008842613037e-24	1.434038462797775e-26	382589294465233.94
H I	100	100.0	K1	5000	1.3361064816839587e-12	2.4848199259264556e-15	234801440461629.88
H I	100	100.0	F8	6000	0.0023201498136330447	4.340272619194252e-06	173709555030570.5
H I	100	100.0	A6	8000	0.003189973941491066	5.955850489836684e-06	209416113525014.9
H I	100	100.0	A0	10000	2.0897990971637688	0.003854744214123247	211846114249513.38
H I	100	100.0	B5	15000	361.6697354288295	0.6159925106096928	243137935483525.78
H I	100	100.0	B0	30000	172230.51565884397	224.00428309743316	460040260529914.06
H I	100	100.0	O0	50000	1813154.4943769514	2536.89950384627	326728431098908.6
He I	0	1e-20	M6	3000	2.4543679698411815e-56	1.201524977784575e-58	104961604196.04349
He I	0	1e-20	K1	5000	3.177845764899453e-33	1.555493657220143e-35	104963981737.9922
He I	0	1e-20	F8	6000	2.364209318990427e-10	1.1485048026206275e-12	105105149714.71057
He I	0	1e-20	A6	8000	5.512058917259853e-15	2.688863682956261e-17	105026823708.68225
He I	0	1e-20	A0	10000	8.589060358427593e-10	4.154880562267033e-12	105187163367.05835
He I	0	1e-20	B5	15000	0.07019984553688534	0.00028475212619131655	124032916047.35167
He I	0	1e-20	B0	30000	761.9085512261275	2.94532126183303	109913853305.43782
He I	0	1e-20	O0	50000	177741.41015678935	573.3466686771511	113469754499.57086
He I	1	1.0	M6	3000	2.483900677011366e-56	7.532708129556073e-59	4379273353076.9883
He I	1	1.0	K1	5000	3.2160840302565056e-33	9.7518403132903e-36	4379877279778.7876
He I	1	1.0	F8	6000	2.39266448020238e-10	7.200307018713104e-13	4415903318326.489
He I	1	1.0	A6	8000	5.5783916979644636e-15	1.6857264080555924e-17	4395852782856.641
