species	b_label	b_effective_kms	star_key	teff_k	beta	beta_err	n_half_beta_cm2
CO	0	1e-20	M6	3000	0.0		
CO	0	1e-20	K1	5000	0.0		
CO	0	1e-20	F8	6000	0.0		
CO	0	1e-20	A6	8000	0.0		
CO	0	1e-20	A0	10000	0.0		
CO	0	1e-20	B5	15000	0.0		
CO	0	1e-20	B0	30000	0.0		
CO	0	1e-20	O0	50000	0.0		
CO	1	1.0	M6	3000	7.476023225279288e-06		1333136558923223.0
CO	1	1.0	K1	5000	6.81750590640113e-05		1354865206850327.2
CO	1	1.0	F8	6000	0.00015963480275290747		1336772457330885.0
CO	1	1.0	A6	8000	0.00029635741782777576		1338405240526355.2
CO	1	1.0	A0	10000	0.0005090434042570833		1339975070960208.8
CO	1	1.0	B5	15000	0.0008400577882311795		1339970814988025.5
CO	1	1.0	B0	30000	0.0012345702015322917		1342475355789959.0
CO	1	1.0	O0	50000	0.002652750377846654		1343420166015829.0
CO	10	10.0	M6	3000	9.035515276867674e-06		1.3855252102813034e+16
CO	10	10.0	K1	5000	7.790142370469013e-05		1.3921865404543094e+16
CO	10	10.0	F8	6000	0.0001598996636550643		1.3383312924822414e+16
CO	10	10.0	A6	8000	0.0002963519924107997		1.3384095062743624e+16
CO	10	10.0	A0	10000	0.0005090256857199371		1.339969211369498e+16
CO	10	10.0	B5	15000	0.0008400350383422896		1.339965983936719e+16
CO	10	10.0	B0	30000	0.0012345427098361243		1.3424763951684396e+16
CO	10	10.0	O0	50000	0.002652774227217414		1.343447598381755e+16
CO	100	100.0	M6	3000	1.0226769062197023e-05		1.3313546495305954e+17
CO	100	100.0	K1	5000	8.520651094500558e-05		1.3374895435254453e+17
CO	100	100.0	F8	6000	0.00015944937890154895		1.3359321725117691e+17
CO	100	100.0	A6	8000	0.0002953582949966741		1.3352513650706155e+17
CO	100	100.0	A0	10000	0.0005072893555243402		1.3368634053336976e+17
CO	100	100.0	B5	15000	0.0008372018765151268		1.3371139869655202e+17
CO	100	100.0	B0	30000	0.0012335216747212507		1.3429561875146597e+17
CO	100	100.0	O0	50000	0.002663454097972286		1.3493832891809904e+17
CO2	0	1e-20	M6	3000	0.0		
CO2	0	1e-20	K1	5000	0.0		
CO2	0	1e-20	F8	6000	0.0		
CO2	0	1e-20	A6	8000	0.0		
CO2	0	1e-20	A0	10000	0.0		
CO2	0	1e-20	B5	15000	0.0		
CO2	0	1e-20	B0	30000	0.0		
CO2	0	1e-20	O0	50000	0.0		
CO2	1	1.0	M6	3000	8.237275385903882e-05		148584447838904.56
CO2	1	1.0	K1	5000	0.000721111669966169		153310674345210.78
CO2	1	1.0	F8	6000	0.0013027608989498922		153518904355120.28
CO2	1	1.0	A6	8000	0.0024891728134018086		153464649718173.34
CO2	1	1.0	A0	10000	0.004350080800474319		153590902022152.1
CO2	1	1.0	B5	15000	0.006974017246868806		153920295604201.75
CO2	1	1.0	B0	30000	0.01012614056188212		154491171821104.88
CO2	1	1.0	O0	50000	0.021808228296750398		154657686484090.78
CO2	10	10.0	M6	3000	8.445928410787993e-05		1494367466548519.5
CO2	10	10.0	K1	5000	0.0007207962947344204		1532604020595341.0
CO2	10	10.0	F8	6000	0.0013026838382269742		1535137647273289.0
CO2	10	10.0	A6	8000	0.0024891401697568452		1534612316210959.5
CO2	10	10.0	A0	10000	0.004349995642212925		1535873252339822.5
CO2	10	10.0	B5	15000	0.006973968679736998		1539177039044865.8
CO2	10	10.0	B0	30000	0.010126170387334528		1544897343907030.2
CO2	10	10.0	O0	50000	0.0218082785181409		1546561919603004.0
CO2	100	100.0	M6	3000	8.250732591160528e-05		1.4715389827884714e+16
CO2	100	100.0	K1	5000	0.000719703056804083		1.531497903299289e+16
CO2	100	100.0	F8	6000	0.0013018187525404394		1.5346333854617396e+16
CO2	100	100.0	A6	8000	0.0024880359217648177		1.5345205712543992e+16
CO2	100	100.0	A0	10000	0.004348412666218675		1.5358977907822382e+16
CO2	100	100.0	B5	15000	0.006972444149763402		1.539218445215482e+16
CO2	100	100.0	B0	30000	0.010127673362651687		1.5450132666269542e+16
CO2	100	100.0	O0	50000	0.021808136172750493		1.5466439898196156e+16
H2	0	1e-20	M6	3000			
H2	0	1e-20	K1	5000			
H2	0	1e-20	F8	6000			
H2	0	1e-20	A6	8000			
H2	0	1e-20	A0	10000			
H2	0	1e-20	B5	15000			
H2	0	1e-20	B0	30000			
H2	0	1e-20	O0	50000			
H2	1	1.0	M6	3000			
H2	1	1.0	K1	5000			
H2	1	1.0	F8	6000			
H2	1	1.0	A6	8000			
H2	1	1.0	A0	10000			
H2	1	1.0	B5	15000			
H2	1	1.0	B0	30000			
H2	1	1.0	O0	50000			
H2	10	10.0	M6	3000			
H2	10	10.0	K1	5000			
H2	10	10.0	F8	6000			
H2	10	10.0	A6	8000			
H2	10	10.0	A0	10000			
H2	10	10.0	B5	15000			
H2	10	10.0	B0	30000			
H2	10	10.0	O0	50000			
H2	100	100.0	M6	3000			
H2	100	100.0	K1	5000			
H2	100	100.0	F8	6000			
H2	100	100.0	A6	8000			
H2	100	100.0	A0	10000			
H2	100	100.0	B5	15000			
H2	100	100.0	B0	30000			
H2	100	100.0	O0	50000			
H2O	0	1e-20	M6	3000	0.0		
H2O	0	1e-20	K1	5000	0.0		
H2O	0	1e-20	F8	6000	0.0		
H2O	0	1e-20	A6	8000	0.0		
H2O	0	1e-20	A0	10000	0.0		
H2O	0	1e-20	B5	15000	0.0		
H2O	0	1e-20	B0	30000	0.0		
H2O	0	1e-20	O0	50000	0.0		
H2O	1	1.0	M6	3000	2.6097912514720864e-05		4633899519625037.0
H2O	1	1.0	K1	5000	0.0004168613991528251		5289547386488768.0
H2O	1	1.0	F8	6000	0.0007973038220422912		5480347197264752.0
H2O	1	1.0	A6	8000	0.0015860361873487412		5702121270444653.0
H2O	1	1.0	A0	10000	0.00284353583509858		5900769782286110.0
H2O	1	1.0	B5	15000	0.004731184776299581		6147560817106747.0
H2O	1	1.0	B0	30000	0.007351253118265355		6586317800878690.0
H2O	1	1.0	O0	50000	0.0160649610889344		6669250568431430.0
H2O	10	10.0	M6	3000	2.604282493033396e-05		4.773905314394501e+16
H2O	10	10.0	K1	5000	0.0004192629559725501		5.2626600609086184e+16
H2O	10	10.0	F8	6000	0.0007981305977475368		5.478758458628737e+16
H2O	10	10.0	A6	8000	0.0015862059780506386		5.7031818563376856e+16
H2O	10	10.0	A0	10000	0.0028435972820406294		5.9001365083348536e+16
H2O	10	10.0	B5	15000	0.004731184938182881		6.145742839316545e+16
H2O	10	10.0	B0	30000	0.007351159637693734		6.582970930724726e+16
H2O	10	10.0	O0	50000	0.016064823276491266		6.673973587525338e+16
H2O	100	100.0	M6	3000	2.696186354367939e-05		4.978529674470877e+17
H2O	100	100.0	K1	5000	0.0004259807341340983		5.1319078249725037e+17
H2O	100	100.0	F8	6000	0.000803227458669076		5.3918038836080115e+17
H2O	100	100.0	A6	8000	0.001586895125936389		5.710159094870652e+17
H2O	100	100.0	A0	10000	0.0028440239501531604		5.902555055408253e+17
H2O	100	100.0	B5	15000	0.004731956609885148		6.14443144004138e+17
H2O	100	100.0	B0	30000	0.007349692412588796		6.584099813453727e+17
H2O	100	100.0	O0	50000	0.016063846063042297		6.674890783600114e+17
H2S	0	1e-20	M6	3000	0.0		
H2S	0	1e-20	K1	5000	0.0		
H2S	0	1e-20	F8	6000	0.0		
H2S	0	1e-20	A6	8000	0.0		
H2S	0	1e-20	A0	10000	0.0		
H2S	0	1e-20	B5	15000	0.0		
H2S	0	1e-20	B0	30000	0.0		
H2S	0	1e-20	O0	50000	0.0		
H2S	1	1.0	M6	3000	4.2712120126896376e-07		3.834222007556877e+17
H2S	1	1.0	K1	5000	6.0525958955549424e-06		4.008306512067122e+17
H2S	1	1.0	F8	6000	1.105949526678387e-05		4.0976801173762816e+17
H2S	1	1.0	A6	8000	2.056607152060826e-05		4.2397025499620275e+17
H2S	1	1.0	A0	10000	3.6440189626316375e-05		4.2890643739699725e+17
H2S	1	1.0	B5	15000	6.144486624179532e-05		4.332358911297835e+17
H2S	1	1.0	B0	30000	9.501785512312989e-05		4.483224307533033e+17
H2S	1	1.0	O0	50000	0.00020794561661344004		4.5158148241385344e+17
H2S	10	10.0	M6	3000	4.239416251993117e-07		3.8683835051229414e+18
H2S	10	10.0	K1	5000	6.043823221870717e-06		3.9998484366007393e+18
