Ion,4000 K,4500 K,5000 K,6000 K,8000 K,10000 K,13000 K,17000 K,19000 K
H I,(1.3±0.0)10^-10,(5.8±0.0)10^-9,(1.3±0.0)10^-7,(2.7±0.0)10^-3,(1.6±0.0)10^-2,2.39±0.00,51.4±0.1,541±1,1626±2
H II,-,-,-,-,-,-,-,-,-
H III,-,-,-,-,-,-,-,-,-
He I,(2.2±0.0)10^-23,(2.0±0.0)10^-20,(6.4±0.0)10^-18,(2.4±0.0)10^-10,(3.1±0.0)10^-9,(3.1±0.0)10^-6,(1.4±0.0)10^-3,(2.2±0.0)10^-1,1.10±0.00
He II,0,0,0,0,0,(1.2±0.0)10^-24,(1.8±0.0)10^-16,(1.9±0.0)10^-5,(5.7±0.0)10^-4
He III,-,-,-,-,-,-,-,-,-
Li I,2.25±0.00,4.34±0.01,18.4±0.0,198±0,1182±2,2664±4,4102±6,4214±6,4337±7
Li II,0,0,0,0,0,(8.0±0.0)10^-27,(1.5±0.0)10^-19,(9.2±0.0)10^-11,(6.8±0.0)10^-10
Li III,0,0,0,0,0,0,0,0,0
Be I,(1.4±0.1)10^-4,(1.4±0.1)10^-3,(4.0±0.1)10^-2,1.05±0.02,94.2±2.0,925±19,4122±73,6435±93,8569±117
Be II,(4.2±0.0)10^-2,(2.5±0.0)10^-1,2.24±0.00,17.5±0.0,139±0,613±1,2171±5,3760±8,5482±12
Be III,(3.1±0.0)10^-2,(8.0±0.0)10^-2,(5.5±0.0)10^-1,12.7±0.0,67.9±0.1,223±0,627±1,841±2,1005±2
B I,(2.1±0.1)10^-5,(1.2±0.0)10^-4,(2.1±0.0)10^-3,(2.3±0.1)10^-1,20.2±0.3,545±27,3128±177,5789±334,8800±519
B II,(4.6±0.4)10^-11,(1.6±0.1)10^-10,(6.4±0.2)10^-9,(4.4±0.1)10^-6,(1.0±0.0)10^-1,329±10,2563±75,4647±125,7461±193
B III,(7.2±0.0)10^-7,(4.1±0.0)10^-6,(5.2±0.0)10^-4,(1.0±0.0)10^-1,24.2±0.1,252±1,1119±2,2028±5,2973±7
C I,(2.1±0.1)10^-8,(3.3±0.1)10^-7,(4.3±0.1)10^-6,(2.7±0.1)10^-4,(1.5±0.0)10^-1,44.6±0.5,648±7,1590±20,2920±38
C II,(2.4±0.0)10^-12,(2.0±0.0)10^-11,(1.1±0.0)10^-9,(2.7±0.0)10^-7,(2.0±0.0)10^-3,1.02±0.02,9.20±0.16,109±2,301±4
C III,(4.6±0.3)10^-14,(6.0±0.4)10^-13,(6.9±0.5)10^-11,(1.6±0.1)10^-8,(1.1±0.1)10^-5,(5.7±0.1)10^-3,6.66±0.08,87.5±1.0,357±5
N I,(7.7±0.9)10^-11,(6.1±0.3)10^-10,(1.3±0.0)10^-8,(2.4±0.0)10^-6,(9.6±0.5)10^-3,3.17±0.11,141±2,575±8,1265±17
N II,(1.9±0.7)10^-10,(4.6±1.5)10^-10,(1.6±0.4)10^-9,(1.5±0.1)10^-7,(5.1±0.3)10^-6,(2.4±0.0)10^-3,6.00±0.09,47.0±0.7,124±2
N III,(9.5±1.1)10^-15,(8.1±1.1)10^-14,(1.9±0.2)10^-11,(7.0±0.9)10^-9,(8.7±1.1)10^-6,(6.8±0.4)10^-4,4.33±0.32,67.4±4.6,199±13
O I,(2.9±0.1)10^-10,(2.0±0.0)10^-9,(3.1±0.1)10^-8,(3.1±0.1)10^-6,(1.3±0.0)10^-3,(9.7±0.2)10^-1,34.2±0.9,147±4,365±10
O II,(2.0±0.1)10^-12,(1.0±0.0)10^-11,(5.4±0.3)10^-11,(1.2±0.0)10^-9,(1.7±0.1)10^-8,(1.5±0.1)10^-5,(2.0±0.1)10^-3,(1.5±0.1)10^-1,1.16±0.05
O III,(1.5±0.1)10^-10,(4.2±0.3)10^-10,(1.7±0.1)10^-9,(8.1±0.6)10^-9,(1.3±0.1)10^-6,(6.6±0.4)10^-5,(1.2±0.0)10^-3,(1.3±0.0)10^-1,1.16±0.02
F I,(3.1±0.2)10^-15,(3.7±0.2)10^-13,(2.2±0.1)10^-11,(9.9±0.5)10^-9,(1.8±0.1)10^-5,(1.9±0.1)10^-3,(2.4±0.1)10^-1,5.98±0.18,30.5±1.1
F II,(1.5±0.4)10^-8,(4.1±1.0)10^-8,(1.7±0.4)10^-7,(6.6±1.6)10^-7,(4.7±1.2)10^-6,(1.4±0.3)10^-5,(3.8±0.6)10^-5,(4.4±1.7)10^-1,1.37±0.48
F III,(8.9±1.7)10^-14,(7.0±1.4)10^-13,(6.0±1.1)10^-12,(1.1±0.2)10^-10,(5.7±0.8)10^-9,(7.6±1.2)10^-8,(4.2±0.7)10^-7,(8.5±1.3)10^-7,(1.4±0.2)10^-6
Ne I,(9.4±0.1)10^-20,(4.4±0.1)10^-17,(7.9±0.1)10^-15,(1.9±0.0)10^-11,(2.3±0.0)10^-7,(7.4±0.1)10^-5,(1.3±0.0)10^-2,(6.7±0.1)10^-1,2.86±0.02
Ne II,0,0,(2.7±0.6)10^-27,(6.5±0.5)10^-14,(2.9±0.4)10^-15,(2.9±0.4)10^-11,(1.5±0.2)10^-7,(3.0±0.2)10^-4,(4.2±0.3)10^-3
Ne III,(1.1±0.0)10^-10,(2.7±0.1)10^-10,(1.3±0.0)10^-9,(1.3±0.0)10^-8,(1.3±0.0)10^-7,(5.1±0.1)10^-7,(1.2±0.0)10^-6,(1.7±0.1)10^-3,(2.7±0.2)10^-2
Na I,(2.3±0.0)10^-1,(4.9±0.0)10^-1,2.21±0.01,63.0±0.4,434±3,957±6,1316±7,1219±6,1206±6
Na II,0,0,0,(2.7±0.2)10^-22,(2.0±0.0)10^-18,(1.3±0.0)10^-13,(3.2±0.0)10^-9,(2.0±0.1)10^-5,(4.4±0.2)10^-4
Na III,0,0,0,(6.4±0.3)10^-22,(3.6±0.1)10^-27,(4.9±0.2)10^-20,(1.8±0.1)10^-14,(6.6±0.4)10^-6,(1.4±0.1)10^-4
Mg I,(1.9±0.0)10^-4,(8.8±0.1)10^-4,(6.3±0.1)10^-3,(6.2±0.1)10^-1,108±2,707±14,2164±40,2543±44,2908±51
Mg II,(1.2±0.0)10^-5,(1.9±0.0)10^-5,(2.1±0.0)10^-4,(3.7±0.1)10^-2,7.30±0.10,117±2,787±10,1903±23,2960±35
