Ion,1 K,100 K,300 K,500 K,750 K,1000 K,2000 K,3000 K
H I,1.70±0.00,1.70±0.00,1.70±0.00,1.70±0.00,1.70±0.00,1.70±0.00,1.70±0.00,1.70±0.00
H II,-,-,-,-,-,-,-,-
H III,-,-,-,-,-,-,-,-
He I,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10,(8.7±0.0)10^-10
He II,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24,(1.2±0.0)10^-24
He III,-,-,-,-,-,-,-,-
Li I,2657±6,2657±6,2657±6,2657±6,2657±6,2657±6,2657±6,2660±6
Li II,0,0,0,0,0,0,0,0
Li III,0,0,0,0,0,0,0,0
Be I,879±26,879±26,879±26,879±26,879±26,879±26,879±26,879±26
Be II,621±1,621±1,621±1,621±1,621±1,621±1,621±1,621±1
Be III,0,0,0,0,0,0,236±0,236±0
B I,542±31,545±26,545±26,545±26,545±27,545±27,545±27,545±27
B II,336±10,336±10,336±10,336±10,336±10,336±10,336±10,336±10
B III,252±1,252±1,252±1,252±1,252±1,252±1,252±1,252±1
C I,34.5±0.8,36.8±0.4,36.5±0.4,36.4±0.4,36.4±0.4,36.4±0.4,36.4±0.4,36.6±0.4
C II,2.34±0.07,1.46±0.04,1.16±0.03,1.11±0.03,1.08±0.03,1.06±0.03,1.04±0.03,1.04±0.02
C III,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3,(4.9±0.1)10^-3
N I,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1,(1.6±0.1)10^-1
N II,(2.6±0.1)10^-3,(2.6±0.0)10^-3,(2.5±0.0)10^-3,(2.5±0.0)10^-3,(2.5±0.0)10^-3,(2.5±0.0)10^-3,(2.5±0.0)10^-3,(2.5±0.0)10^-3
N III,(7.4±0.7)10^-4,(7.2±0.6)10^-4,(6.9±0.4)10^-4,(6.9±0.4)10^-4,(6.8±0.4)10^-4,(6.8±0.4)10^-4,(6.8±0.4)10^-4,(6.8±0.4)10^-4
O I,1.37±0.04,1.30±0.04,1.12±0.03,1.06±0.03,1.03±0.03,1.01±0.03,(9.9±0.2)10^-1,(9.8±0.2)10^-1
