planet,species,z_exobase_km,knudsen,lambda_mfp_km,mass_amu,radius_AA,z_max_km,H0_km
alkali_exosphere_rocky,H I,545,1.0,80,1.008,1.2,6517,65.2
alkali_exosphere_rocky,He I,555,1.0,80,4.003,1.43,6517,65.2
alkali_exosphere_rocky,H2,556,1.0,80,2.016,1.45,6517,65.2
alkali_exosphere_rocky,F I,557,1.0,80,18.998,1.47,6517,65.2
alkali_exosphere_rocky,O I,558,1.0,80,15.999,1.5,6517,65.2
alkali_exosphere_rocky,Be I,559,1.0,80,9.012,1.53,6517,65.2
alkali_exosphere_rocky,Ne I,560,1.0,80,20.18,1.54,6517,65.2
alkali_exosphere_rocky,N I,565,1.0,81,14.007,1.66,6517,65.2
alkali_exosphere_rocky,Cl I,568,1.0,80,35.45,1.75,6517,65.2
alkali_exosphere_rocky,OH,568,1.0,80,17.007,1.75,6517,65.2
alkali_exosphere_rocky,C I,569,1.0,80,12.011,1.77,6517,65.2
alkali_exosphere_rocky,Li I,571,1.0,80,6.94,1.82,6517,65.2
alkali_exosphere_rocky,Ar I,574,1.0,81,39.948,1.88,6517,65.2
alkali_exosphere_rocky,P I,574,1.0,81,30.974,1.9,6517,65.2
alkali_exosphere_rocky,S I,574,1.0,81,32.06,1.89,6517,65.2
alkali_exosphere_rocky,B I,575,1.0,80,10.81,1.92,6517,65.2
alkali_exosphere_rocky,CH4,578,1.0,81,16.042,2.0,6517,65.2
alkali_exosphere_rocky,O2,580,1.0,81,31.999,2.05,6517,65.2
alkali_exosphere_rocky,CO,582,1.0,81,28.01,2.1,6517,65.2
alkali_exosphere_rocky,NO,584,1.0,81,30.006,2.15,6517,65.2
alkali_exosphere_rocky,Si I,585,1.0,81,28.085,2.19,6517,65.2
alkali_exosphere_rocky,NH3,586,1.0,81,17.031,2.2,6517,65.2
alkali_exosphere_rocky,SO,586,1.0,81,48.059,2.2,6517,65.2
alkali_exosphere_rocky,SiO,586,1.0,81,44.084,2.2,6517,65.2
alkali_exosphere_rocky,Al I,587,1.0,81,26.982,2.25,6517,65.2
