template,category,composition
Mercury-like rocky planet,rocky,"H I: 0.18, He I: 0.05, O I: 0.34, Na I: 0.22, K I: 0.01, NaCl: 0.06, SiO: 0.08, O2: 0.06"
Earth-like rocky planet,rocky,"N I: 0.35, O I: 0.1, N2: 0.42, O2: 0.11, H2O: 0.008, CO2: 0.01"
Mars-like rocky planet,rocky,"N I: 0.01, O I: 0.004, CO2: 0.94, CO: 0.04, O2: 0.008, H2O: 0.003"
Super earth,rocky,"O I: 0.2, N I: 0.1, Na I: 0.1, K I: 0.03, H I: 0.01, CO2: 0.25, SO2: 0.1, CO: 0.1, H2O: 0.08, SiO: 0.03"
Lava world,rocky,"O I: 0.1, Na I: 0.2, K I: 0.1, Si I: 0.1, Ca I: 0.1, SiO: 0.2, NaCl: 0.1, O2: 0.05, SO2: 0.05"
Volatile-rich hot super-Earth,rocky,"H I: 0.1, He I: 0.03, O I: 0.04, Na I: 0.01, K I: 0.01, H2: 0.36, H2O: 0.2, CO: 0.1, CO2: 0.1, NO: 0.03, NH3: 0.02"
Alkali Rocky,rocky,"Na I: 0.4, K I: 0.1, O I: 0.1, H I: 0.03, He I: 0.03, NaCl: 0.1, SiO: 0.1, SO2: 0.1, O2: 0.04"
Metal rich,rocky,"O I: 0.15, N I: 0.1, Na I: 0.1, K I: 0.03, CO: 0.15, NO: 0.08, CO2: 0.15, SO2: 0.1, H2O: 0.1, SiO: 0.04"
Cool mini-Neptune,mini_neptune,"H I: 0.4, He I: 0.1, H2: 0.35, H2O: 0.1, NH3: 0.02, CO: 0.03"
Warm mini-Neptune,mini_neptune,"H I: 0.35, He I: 0.1, H2: 0.32, H2O: 0.1, CO: 0.1, CO2: 0.03"
Sub-Neptune,sub_neptune,"H I: 0.4, He I: 0.11, H2: 0.24, H2O: 0.1, CO: 0.1, CO2: 0.03, NH3: 0.02"
Warm Neptune,neptune,"H I: 0.45, He I: 0.1, H2: 0.23, H2O: 0.1, CO: 0.08, CO2: 0.03, NO: 0.01"
Hot Neptune,neptune,"H I: 0.47, He I: 0.1, O I: 0.01, H2: 0.2, H2O: 0.1, CO: 0.08, CO2: 0.03, NO: 0.01"
Super-puff sub-Neptune,sub_neptune,"H I: 0.35, He I: 0.1, H2: 0.37, H2O: 0.1, CO: 0.05, CO2: 0.02, NH3: 0.01"
Cold Jupiter,gas_giant,"H I: 0.49, He I: 0.1, H2: 0.35, NH3: 0.03, H2O: 0.02, CO: 0.01"
Warm Jupiter,gas_giant,"H I: 0.5, He I: 0.1, H2: 0.33, H2O: 0.03, CO: 0.02, NH3: 0.02"
Hot Jupiter,gas_giant,"H I: 0.49, He I: 0.1, H2: 0.2, H2O: 0.1, CO: 0.08, CO2: 0.01, NO: 0.01, OH: 0.01"
Inflated hot Jupiter,gas_giant,"H I: 0.6, He I: 0.1, O I: 0.01, Na I: 0.01, H2: 0.28"
Ultra-hot Jupiter,gas_giant,"H I: 0.6, He I: 0.1, He II: 0.01, O I: 0.01, H2: 0.1, CO: 0.11, H2O: 0.04, NO: 0.02, OH: 0.01"
