template,category,radius,mass,T_K,mu,P0_bar
mercury_like,rocky,0.383 $R_\oplus$,0.055 $M_\oplus$,440,23,1e-09
earth_like,rocky,1 $R_\oplus$,1 $M_\oplus$,288,28.97,1
mars_like,rocky,0.532 $R_\oplus$,0.107 $M_\oplus$,210,43,0.006
super_earth_rocky,rocky,2 $R_\oplus$,4 $M_\oplus$,300,25,1
lava_world,rocky,2 $R_\oplus$,8 $M_\oplus$,2000,35,0.001
volatile_super_earth,rocky,2 $R_\oplus$,6.5 $M_\oplus$,900,6,5e-04
mini_neptune_cool,mini_neptune,2.5 $R_\oplus$,7 $M_\oplus$,400,2.5,1e-04
mini_neptune_warm,mini_neptune,2.5 $R_\oplus$,9 $M_\oplus$,700,2.5,1e-04
sub_neptune,sub_neptune,3.5 $R_\oplus$,12 $M_\oplus$,900,2.5,1e-04
warm_neptune,neptune,4 $R_\oplus$,17 $M_\oplus$,900,2.5,1e-04
hot_neptune,neptune,4.5 $R_\oplus$,20 $M_\oplus$,1000,2.5,1e-04
super_puff,sub_neptune,6.5 $R_\oplus$,4.5 $M_\oplus$,700,2.5,1e-04
cold_jupiter,gas_giant,1 $R_\mathrm{J}$,1 $M_\mathrm{J}$,200,2.5,0.001
warm_jupiter,gas_giant,1 $R_\mathrm{J}$,1 $M_\mathrm{J}$,600,2.5,0.001
hot_jupiter,gas_giant,1 $R_\mathrm{J}$,1 $M_\mathrm{J}$,1500,2.5,0.001
inflated_hot_jupiter,gas_giant,1.5 $R_\mathrm{J}$,0.5 $M_\mathrm{J}$,1500,2.5,0.001
ultra_hot_jupiter,gas_giant,2 $R_\mathrm{J}$,1 $M_\mathrm{J}$,2500,2.5,0.001
alkali_exosphere_rocky,rocky,0.8 $R_\oplus$,0.4 $M_\oplus$,1000,25,1e-08
metal_rich_secondary,rocky,2 $R_\oplus$,6 $M_\oplus$,1000,35,0.01
